id_pedido,fecha_hora,dia_semana,hora,metodo_pago,tiempo_preparacion_min,calificacion_estrellas,id_item,nombre_platillo,categoria,cantidad_vendida,precio_venta_unitario,costo_produccion_unitario,subtotal_venta,subtotal_costo,subtotal_margen_ganancia,insumo_principal,alerta_inventario
101,2026-05-01 12:18:00,Viernes,12,Transferencia,18,4,2,Taco de Asada,Platillos,1,40.0,15.0,40.0,15.0,25.0,Carne de Res (Asada),Optimo
101,2026-05-01 12:18:00,Viernes,12,Transferencia,18,4,7,Volcan de Queso y Asada,Complementos,1,50.0,18.0,50.0,18.0,32.0,Queso Asadero,Optimo
102,2026-05-01 14:41:00,Viernes,14,Transferencia,37,4,10,Cerveza Nacional,Bebidas,2,45.0,20.0,90.0,40.0,50.0,Cerveza Nacional,Critico
102,2026-05-01 14:41:00,Viernes,14,Transferencia,37,4,8,Flan Napolitano,Postres,1,45.0,12.0,45.0,12.0,33.0,Flan Base Repostera,Optimo
102,2026-05-01 14:41:00,Viernes,14,Transferencia,37,4,1,Taco de Cochinita,Platillos,3,35.0,12.5,105.0,37.5,67.5,Carne de Cerdo (Cochinita),Critico
102,2026-05-01 14:41:00,Viernes,14,Transferencia,37,4,9,Orden de Guacamole,Complementos,4,55.0,15.0,220.0,60.0,160.0,Aguacate,Critico
102,2026-05-01 14:41:00,Viernes,14,Transferencia,37,4,6,Agua de Horchata 1L,Bebidas,4,40.0,10.0,160.0,40.0,120.0,Limon,Critico
103,2026-05-01 16:09:00,Viernes,16,Efectivo,13,5,4,Combo Godin (3 Tacos + Refresco),Combos,1,120.0,45.0,120.0,45.0,75.0,Tortillas de Maiz,Critico
104,2026-05-01 16:45:00,Viernes,16,Transferencia,20,5,5,Coca Cola 600ml,Bebidas,3,30.0,12.0,90.0,36.0,54.0,Coca Cola 600ml,Optimo
104,2026-05-01 16:45:00,Viernes,16,Transferencia,20,5,7,Volcan de Queso y Asada,Complementos,1,50.0,18.0,50.0,18.0,32.0,Queso Asadero,Optimo
104,2026-05-01 16:45:00,Viernes,16,Transferencia,20,5,4,Combo Godin (3 Tacos + Refresco),Combos,3,120.0,45.0,360.0,135.0,225.0,Tortillas de Maiz,Critico
105,2026-05-01 20:07:00,Viernes,20,Efectivo,31,4,9,Orden de Guacamole,Complementos,1,55.0,15.0,55.0,15.0,40.0,Aguacate,Critico
105,2026-05-01 20:07:00,Viernes,20,Efectivo,31,4,1,Taco de Cochinita,Platillos,1,35.0,12.5,35.0,12.5,22.5,Carne de Cerdo (Cochinita),Critico
105,2026-05-01 20:07:00,Viernes,20,Efectivo,31,4,2,Taco de Asada,Platillos,1,40.0,15.0,40.0,15.0,25.0,Carne de Res (Asada),Optimo
106,2026-05-01 20:40:00,Viernes,20,Efectivo,29,4,10,Cerveza Nacional,Bebidas,3,45.0,20.0,135.0,60.0,75.0,Cerveza Nacional,Critico
106,2026-05-01 20:40:00,Viernes,20,Efectivo,29,4,2,Taco de Asada,Platillos,1,40.0,15.0,40.0,15.0,25.0,Carne de Res (Asada),Optimo
106,2026-05-01 20:40:00,Viernes,20,Efectivo,29,4,9,Orden de Guacamole,Complementos,4,55.0,15.0,220.0,60.0,160.0,Aguacate,Critico
107,2026-05-01 21:11:00,Viernes,21,Efectivo,18,4,2,Taco de Asada,Platillos,1,40.0,15.0,40.0,15.0,25.0,Carne de Res (Asada),Optimo
108,2026-05-01 21:20:00,Viernes,21,Efectivo,25,4,9,Orden de Guacamole,Complementos,1,55.0,15.0,55.0,15.0,40.0,Aguacate,Critico
108,2026-05-01 21:20:00,Viernes,21,Efectivo,25,4,4,Combo Godin (3 Tacos + Refresco),Combos,1,120.0,45.0,120.0,45.0,75.0,Tortillas de Maiz,Critico
109,2026-05-01 21:33:00,Viernes,21,Tarjeta,21,5,6,Agua de Horchata 1L,Bebidas,2,40.0,10.0,80.0,20.0,60.0,Limon,Critico
109,2026-05-01 21:33:00,Viernes,21,Tarjeta,21,5,9,Orden de Guacamole,Complementos,1,55.0,15.0,55.0,15.0,40.0,Aguacate,Critico
109,2026-05-01 21:33:00,Viernes,21,Tarjeta,21,5,3,Torta de Cochinita,Platillos,1,60.0,25.0,60.0,25.0,35.0,Carne de Cerdo (Cochinita),Critico
110,2026-05-01 21:38:00,Viernes,21,Efectivo,25,2,10,Cerveza Nacional,Bebidas,1,45.0,20.0,45.0,20.0,25.0,Cerveza Nacional,Critico
111,2026-05-01 23:41:00,Viernes,23,Tarjeta,21,5,8,Flan Napolitano,Postres,1,45.0,12.0,45.0,12.0,33.0,Flan Base Repostera,Optimo
111,2026-05-01 23:41:00,Viernes,23,Tarjeta,21,5,4,Combo Godin (3 Tacos + Refresco),Combos,1,120.0,45.0,120.0,45.0,75.0,Tortillas de Maiz,Critico
111,2026-05-01 23:41:00,Viernes,23,Tarjeta,21,5,6,Agua de Horchata 1L,Bebidas,3,40.0,10.0,120.0,30.0,90.0,Limon,Critico
111,2026-05-01 23:41:00,Viernes,23,Tarjeta,21,5,9,Orden de Guacamole,Complementos,2,55.0,15.0,110.0,30.0,80.0,Aguacate,Critico
112,2026-05-02 12:27:00,Sabado,12,Tarjeta,26,4,4,Combo Godin (3 Tacos + Refresco),Combos,1,120.0,45.0,120.0,45.0,75.0,Tortillas de Maiz,Critico
